community,year,Crimes Involving Children,Deceptive Practices and Fraud,Drug-Related Crimes,Property Crimes,Public Order Crimes,Violent Crimes,latitude,longitude
ALBANY PARK,2014,16.0,112.0,149.0,1092.0,147.0,687.0,41.96806846568348,-87.72155978386796
ALBANY PARK,2015,20.0,88.0,110.0,1257.0,103.0,758.0,41.96806846568348,-87.72155978386796
ALBANY PARK,2016,25.0,142.0,44.0,1178.0,67.0,791.0,41.96806846568348,-87.72155978386796
ALBANY PARK,2017,25.0,134.0,28.0,1298.0,73.0,711.0,41.96806846568348,-87.72155978386796
ALBANY PARK,2018,14.0,143.0,33.0,1163.0,94.0,792.0,41.96806846568348,-87.72155978386796
ALBANY PARK,2019,21.0,132.0,61.0,1063.0,130.0,630.0,41.96806846568348,-87.72155978386796
ALBANY PARK,2020,17.0,146.0,54.0,898.0,114.0,629.0,41.96806846568348,-87.72155978386796
ALBANY PARK,2021,16.0,146.0,23.0,820.0,80.0,599.0,41.96806846568348,-87.72155978386796
ALBANY PARK,2022,28.0,127.0,48.0,1023.0,87.0,650.0,41.96806846568348,-87.72155978386796
ALBANY PARK,2023,27.0,199.0,31.0,1257.0,85.0,763.0,41.96806846568348,-87.72155978386796
ARCHER HEIGHTS,2014,17.0,47.0,53.0,619.0,42.0,204.0,41.810879571562666,-87.7263628391597
ARCHER HEIGHTS,2015,8.0,47.0,38.0,486.0,47.0,298.0,41.810879571562666,-87.7263628391597
ARCHER HEIGHTS,2016,5.0,56.0,32.0,469.0,38.0,231.0,41.810879571562666,-87.7263628391597
ARCHER HEIGHTS,2017,9.0,64.0,18.0,434.0,39.0,228.0,41.810879571562666,-87.7263628391597
ARCHER HEIGHTS,2018,7.0,47.0,23.0,435.0,33.0,229.0,41.810879571562666,-87.7263628391597
ARCHER HEIGHTS,2019,10.0,47.0,17.0,424.0,43.0,214.0,41.810879571562666,-87.7263628391597
ARCHER HEIGHTS,2020,7.0,65.0,5.0,306.0,41.0,213.0,41.810879571562666,-87.7263628391597
ARCHER HEIGHTS,2021,10.0,60.0,3.0,284.0,36.0,230.0,41.810879571562666,-87.7263628391597
ARCHER HEIGHTS,2022,3.0,142.0,5.0,444.0,59.0,276.0,41.810879571562666,-87.7263628391597
