OBJECTID,GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV
1,Albany Park,57655,51542,51575,13354,13738,11975,8232,2329,1343,604,33.6876257545272,14932,24892,2337,7883,1531,49998,41047,29653,27243,2339,11394,1041,25729,12814,2494,8580,1622,219,N/A,3413,7459,4184,1355,34065,7378,8192,5068,2047,7339,4041,3627,3835,2967,2091,2259,1632,55560.9573672401,16411,6415,9996,1685,18096,3413,226,3476,3654,7303,5.355693868142,834,1612,2924,12726,,4353,7239,4790,1336,378,974,2782,1935,683,274438.454627134,17805,Health Care,Accommodation and Food Service,Retail Trade,Professional,Education,2516,1939,1886,1526,1505,4977,Health Care,Retail Trade,Manufacturing,Administration,Information,1081,784,618,534,401,Outside of Chicago,The Loop,Near North Side,Near West Side,Albany Park,7184,2563,1390,769,560,Outside of Chicago,Albany Park,Irving Park,Belmont Cragin,Portage Park,2130,560,222,154,144,,,,,,,,,,,,,,,,12281,,,,,,,,,,1.660925123,1229.16048808557,302.877259167911,0.246409856242325,295.528239252722,0.240430962528751,34.520915193528879,0.028084953533851074,75.0401623012299,0.061049930443262,53.8042652151627,0.0437731815631037,20.188114546908857,0.016424311343063172,413.623653946563,0.336509070992663,n/a,n/a,28.1029245023855,0.0228635111320216,5.47495395915537,0.00445422222095886,4022,4412,2725,5252,10752,1534,5659,2281,22,170,2089,4867,400,1225,3242,2947,932,1282,733,5906,4243,1136,527,25587,22290,47877,16365,31512,16525,16365,21012,967,294,2310,621,650,1801,3294,563,15866,26741,1907,10178,2963,,,,,,,,,,,,,,,,,,
2,Archer Heights,12644,13393,13233,4016,2933,2879,1897,907,369,231,33.0616996507567,2477,10178,79,439,60,13231,10012,6700,6038,662,3312,80,5742,3582,878,935,329,19,N/A,600,1556,1107,642,8151,2599,2881,1535,278,663,195,946,1149,787,384,493,148,44948.5596707819,3906,2188,1719,361,4267,1904,44,1092,1019,183,5.56830188679245,24,808,2248,1187,,353,1497,1762,393,263,541,1461,164,15,179387.417218543,4679,Manufacturing,Administration,Accommodation and Food Service,Retail Trade,Health Care,718,539,511,510,433,9743,Manufacturing,Transportation,Administration,Wholesale Trade,Retail Trade,3154,1902,1395,814,766,Outside of Chicago,The Loop,Near North Side,Near West Side,Archer Heights,1821,598,293,255,251,Outside of Chicago,South Lawndale,Gage Park,Brighton Park,West Lawn,5060,284,266,262,258,,,,,,,,,,,,,,,,15621,,,,,,,,,,1.504478182,1283.80407616835,168.550456938644,0.131289859619157,68.8059419066613,0.053595360214169,18.176619243562691,0.014158405928895864,52.723123548768,0.0410678891954648,37.963040590016,0.0295707431490019,333.605519215888480,0.2598570338018935,555.886936267358,0.432999821847007,n/a,n/a,15.0051455448403,0.0116880338856881,33.0872929126142,0.0257728523587233,857,820,711,1518,2957,551,949,520,5,64,451,1449,215,346,889,771,354,236,182,1012,729,246,37,6810,5468,12278,2291,9988,4447,2291,8451,1118,301,29,24,0,0,64,0,6752,5485,74,48,285,,,,,,,,,,,,,,,,,,
3,Armour Square,12032,13391,13699,2997,2824,2539,2541,1371,1043,385,42.0582010582011,1599,423,1248,10299,130,13674,11536,6688,5879,809,4848,187,5523,2159,1003,1012,1234,114,N/A,2088,2168,782,125,9974,3342,3010,920,505,1313,884,2483,1136,648,324,425,149,26543.2098765432,5165,1912,3252,527,5690,381,674,855,1114,2653,4.81700288184438,767,2163,895,1865,,1414,1813,2049,261,153,257,830,689,133,280661.764705882,4828,Accommodation and Food Service,Health Care,Retail Trade,Manufacturing,Professional,931,623,423,418,364,5107,Accommodation and Food Service,Administration,Arts and Entertainment,Health Care,Retail Trade,1531,797,758,718,360,Outside of Chicago,The Loop,Armour Square,Near North Side,Near West Side,1518,768,665,314,261,Outside of Chicago,Bridgeport,Armour Square,Brighton Park,McKinley Park,1236,724,665,256,237,,,,,,,,,,,,,,,,8150,,,,,,,,,,2.176483779,637.424147103849,56.1181535388806,0.0880389514483483,79.2364380659709,0.124307242557383,9.858423031826433,0.015466033216059355,89.5127715637198,0.1404288996117,11.2492806437011,0.0176480302712291,18.034999493747403,0.02829356179192431,343.632519878727,0.539095547980146,n/a,n/a,15.019186412592,0.023562311658308,14.7623744746838,0.023159421464902,1632,1426,829,1277,3293,362,1872,1666,165,389,1112,1586,179,407,1000,647,329,160,158,890,580,228,82,4922,8144,13066,3684,9382,6940,3684,235,25,8758,0,1,6,138,218,0,2062,448,2046,7305,171,,,,,,,,,,,,,,,,,,
4,Ashburn,39584,41081,43283,12983,8368,8998,8477,2855,977,625,35.5075122292103,5044,16374,20721,314,830,42697,33085,22477,19608,2869,10608,320,18643,13105,2592,2763,130,53,N/A,860,4331,5142,2500,26882,4417,8141,6584,2239,3595,1906,2021,2673,2653,2166,2215,1105,65498.638529612,12833,10784,2049,649,13482,11887,103,347,388,748,6.56504182290164,235,2039,10408,800,,373,2421,6905,2802,981,4497,5931,262,85,159912.065894924,16531,Health Care,Education,Public Administration,Retail Trade,Manufacturing,2208,2143,1706,1574,1409,5380,Retail Trade,Health Care,Utilities,Administration,Accommodation and Food Service,1144,998,811,441,382,Outside of Chicago,The Loop,Near North Side,Near West Side,Ashburn,6818,3795,847,844,288,Outside of Chicago,Ashburn,Auburn Gresham,Chicago Lawn,South Shore,2880,288,191,135,97,,,,,,,,,,,,,,,,18740,,,,,,,,,,1.802752357,3109.7414378481,1267.65497351176,0.407639991570797,41.0147385013417,0.0131891153399954,9.861780477391331,0.0031712541619587377,132.260600858037,0.0425310603795921,182.693783246428,0.0587488660706306,103.805630451137130,0.03338079146637005,1071.49831079845,0.344561865419884,n/a,n/a,259.866613591216,0.083565344188564,41.085006412336,0.0132117114022079,2447,3001,2672,4713,10089,1770,2744,1486,37,151,1298,3063,599,353,2111,2653,729,921,1003,5486,3899,1314,273,33201,7343,40544,26603,13941,5006,26603,12485,219,49,77,444,9,91,309,258,14546,6674,17045,408,911,,,,,,,,,,,,,,,,,,
5,Auburn Gresham,55928,48743,45770,11432,9224,7941,9587,4041,2700,845,39.657333890514,257,614,44267,153,479,45656,36987,20671,15788,4876,16316,635,14864,8898,960,4638,265,103,N/A,5582,7574,3209,914,31118,5356,10100,8973,2113,2771,1805,7497,4448,2661,1297,1054,322,29820.6751054852,17279,7529,9750,3304,20583,8613,307,4152,3445,4031,5.84269551409289,732,1727,9724,8400,,3573,7132,6686,2264,928,4671,2670,175,13,130068.161829376,14500,Health Care,Retail Trade,Administration,Education,Transportation,2816,1599,1562,1469,1226,2554,Retail Trade,Transportation,Accommodation and Food Service,Health Care,Manufacturing,619,343,334,225,178,Outside of Chicago,The Loop,Near North Side,Near West Side,Near South Side,4988,2709,1091,896,267,Outside of Chicago,Auburn Gresham,South Shore,Chicago Lawn,Roseland,957,240,83,74,73,,,,,,,,,,,,,,,,10796,,,,,,,,,,1.732237832,2411.96864154889,800.140272513142,0.33173742756428,319.436742515532,0.132438182243696,22.147236704121749,0.009182224147781394,90.5184948418966,0.037528885443456,109.08894853019,0.045228178613523,54.893064205320009,0.02275861437819909,834.364134278164,0.345926609453082,n/a,n/a,59.3439975469366,0.0246039672840969,122.035750413592,0.0505959108718859,6075,4776,2929,3499,10610,2694,6669,5249,87,433,4729,5782,952,1525,3305,2644,1095,1136,413,2660,2082,426,152,42495,737,43232,42479,753,224,42479,377,2,0,20,0,11,61,202,80,237,347,54862,45,437,,,,,,,,,,,,,,,,,,
6,Austin,117527,98514,97611,27986,20929,18001,18709,7336,3498,1152,34.9148654952573,4407,12270,79668,475,791,96571,75407,41617,34244,7364,33790,906,32683,19572,2368,9518,690,535,N/A,10651,13091,6320,2317,61875,13410,22597,13151,4490,5481,2746,13062,8848,4561,2583,2362,963,31919.5475885617,32379,12960,19419,4834,37213,9847,615,11490,6869,8293,5.76959093149335,1261,2443,8837,24672,,6583,14019,11165,3422,2024,5467,6030,1255,202,164494.833524684,33535,Health Care,Administration,Retail Trade,Accommodation and Food Service,Education,6078,4046,3793,2917,2703,15815,Health Care,Administration,Retail Trade,Manufacturing,Construction,3998,2293,2288,2140,1059,Outside of Chicago,The Loop,Near North Side,Near West Side,Austin,15317,4817,1990,1695,1172,Outside of Chicago,Austin,Lake View,Belmont Cragin,Near North Side,7797,1172,312,299,273,,,,,,,,,,,,,,,,10556,,,,,,,,,,0.69933427,4574.24707811772,958.05287195504,0.209444932814883,794.188429362266,0.173621672769165,62.312473119085247,0.013622454593057632,206.106042373001,0.0450579163856212,206.258358746002,0.0450912150619718,499.204564570245280,0.10913371229078098,1470.44448275922,0.321461534028961,n/a,n/a,199.701299179454,0.0436577420871698,177.978556053415,0.0389088199683896,9990,8538,5202,8649,21036,5987,11343,9128,233,467,8428,11353,1157,2590,7606,4528,1602,1626,1300,5886,4058,1349,479,85410,4859,90269,78858,11411,4262,78858,9805,484,0,135,148,97,72,575,95,5662,4841,105369,642,1013,,,,,,,,,,,,,,,,,,
7,Avalon Park,11147,10185,9795,2150,1676,1668,2329,1045,651,277,44.8385689354276,37,68,9573,19,99,9782,8217,4294,3255,1039,3923,182,2905,2028,268,591,9,9,N/A,952,1693,958,269,7075,852,1689,2443,492,1066,533,1387,986,478,488,343,191,37670.9401709402,3873,2528,1344,625,4497,2760,233,362,441,701,6.34033613445378,428,293,1889,1887,,1016,935,1444,689,413,1004,1411,72,41,160743.801652893,3262,Health Care,Education,Public Administration,Retail Trade,Administration,596,453,339,313,286,3101,Health Care,Construction,Accommodation and Food Service,Other Service,Retail Trade,1959,346,136,125,123,Outside of Chicago,The Loop,Near North Side,Near West Side,Avalon Park,915,814,275,182,85,Outside of Chicago,Chatham,Roseland,South Shore,Auburn Gresham,1001,144,129,122,120,,,,,,,,,,,,,,,,14159,,,,,,,,,,2.859074403,800.108754670059,304.058607904667,0.380021598476386,27.2992845372951,0.03411946735735,2.577755700298908,0.003221756649021915,44.905045827352,0.0561236776441341,43.0124195106164,0.0537582163169223,12.008952785454342,0.015009150587792869,313.565352192726,0.391903413582859,n/a,n/a,28.0480739604543,0.0350553269124276,24.6332622511955,0.0307873924731064,1563,1107,529,675,2208,490,1665,840,14,74,752,1231,237,224,771,477,131,166,180,1024,587,286,151,8967,147,9114,8932,182,33,8932,61,0,0,0,0,0,47,16,59,96,85,10816,19,131,,,,,,,,,,,,,,,,,,
8,Avondale,43083,39262,38191,9226,12162,7750,5307,2173,1063,510,32.4499443826474,11898,23368,800,1340,785,38114,30712,21034,19633,1401,9678,790,18498,9449,1986,5814,949,300,N/A,2679,6642,3342,855,25860,6969,6215,3791,1225,4779,2881,3221,3890,2537,1428,1391,1051,47714.2857142857,13518,4992,8526,1620,15138,2397,376,4558,4625,3162,5.5351885924563,1086,898,2081,11073,,2956,6989,3952,807,434,678,2193,1689,379,278036.105032823,15135,Accommodation and Food Service,Health Care,Retail Trade,Professional,Manufacturing,1722,1590,1493,1430,1342,8088,Retail Trade,Manufacturing,Utilities,Accommodation and Food Service,Construction,1759,1316,1057,748,548,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,5498,2460,1310,850,533,Outside of Chicago,Avondale,Logan Square,Belmont Cragin,Portage Park,3911,343,318,228,188,,,,,,,,,,,,,,,,16583,,,,,,,,,,0.874526544,1269.29742457625,161.303435278307,0.127080881245905,312.134012901274,0.245910853404181,34.998962119783293,0.02757349179327897,100.361982203892,0.0790689244779625,27.4754895365528,0.021646218612415,130.909043863817570,0.10313504252757884,478.377636628756,0.376883799940318,n/a,n/a,8.81909917664855,0.00694801628514513,14.9177628672172,0.0117527717132157,3687,3974,2526,3331,8045,1288,5473,2093,0,65,2028,4671,354,1182,3135,2529,728,1057,744,3870,2618,956,296,22021,13426,35447,13925,21522,10552,13925,18051,1890,60,378,98,10,392,633,10,12757,26700,669,953,2004,,,,,,,,,,,,,,,,,,
9,Belmont Cragin,78144,78743,78107,24443,17805,17084,12405,4072,1615,682,32.5081864961796,10859,62945,2194,1333,775,77772,58425,40700,36277,4406,17725,537,34935,22374,4891,5501,1343,827,N/A,3191,8988,6781,2981,47925,17258,14394,7502,2566,4385,1819,5462,6412,4662,2118,2490,796,44795.7271364318,21941,10981,10961,2325,24266,9010,544,5977,5547,3096,5.66316295685628,1128,2118,8453,12569,,3588,9917,6759,2633,1370,2255,7157,1387,126,207223.360655738,26150,Manufacturing,Retail Trade,Health Care,Administration,Accommodation and Food Service,3630,3182,3170,2758,2679,13934,Administration,Retail Trade,Accommodation and Food Service,Health Care,Manufacturing,6420,2616,968,714,659,Outside of Chicago,The Loop,Near North Side,Near West Side,Belmont Cragin,12513,2731,1365,977,975,Outside of Chicago,Belmont Cragin,Austin,Portage Park,South Lawndale,7353,975,391,289,277,,,,,,,,,,,,,,,,14137,,,,,,,,,,0.888154331,2504.577926446,711.919376126375,0.284247245258042,385.334810201695,0.153852194468744,48.238626808710869,0.0192601820447893,242.312876747243,0.096747988628601,146.582076050287,0.0585256599535264,121.358751873512280,0.048454771796907325,775.695242207137,0.30971096327909,n/a,n/a,64.7797507804396,0.0258645379312922,8.35641565060085,0.00333645663900688,4351,4667,3962,8961,16684,3638,5257,3504,0,74,3430,7881,396,1890,5596,4621,1498,1467,1656,5373,3420,1381,573,41760,30010,71770,12965,58805,27126,12965,52636,4279,17,936,309,27,206,359,36,21881,50881,2000,1989,1393,,,,,,,,,,,,,,,,,,
10,Beverly,21992,20034,20836,5367,2802,4448,5214,1918,818,269,42.962577962578,12043,1200,7047,89,457,20810,16452,10866,10152,714,5586,418,9481,6700,593,1928,208,52,N/A,382,2775,3118,1335,14447,457,2043,2853,1048,3955,4091,744,1180,1105,1212,1337,2032,91006.600660066,7610,6162,1448,424,8034,6261,72,329,242,1114,7.20115356885364,124,340,3818,3752,,894,1434,3218,1724,764,617,2611,2313,555,290044.247787611,9791,Education,Public Administration,Health Care,Professional,Retail Trade,1810,1257,1167,760,696,3328,Health Care,Accommodation and Food Service,Retail Trade,Education,Administration,613,474,430,417,411,Outside of Chicago,The Loop,Near North Side,Near West Side,Beverly,3633,3090,488,459,322,Outside of Chicago,Beverly,Morgan Park,Roseland,Auburn Gresham,1586,322,99,92,74,,,,,,,,,,,,,,,,15506,,,,,,,,,,2.046641896,2038.09374181602,1043.62365402059,0.51205871084746,58.8029698124673,0.0288519456225167,9.862034560105339,0.004838852285232914,66.0656312286836,0.0324154036064193,42.6877833365542,0.0209449557989996,n/a,n/a,548.885401231256,0.269313128228429,n/a,n/a,257.611428719586,0.126398223709791,10.5548389067787,0.00517877990115113,2018,2319,1261,2012,5325,358,2285,446,0,23,423,1324,117,488,719,1105,458,337,310,4534,3165,923,446,18762,639,19401,18449,952,199,18449,553,60,18,39,8,0,4,199,71,13814,643,7006,121,408,,,,,,,,,,,,,,,,,,
