GEOG,TOT_POP,MEDINC,TOT_EMP_RES,year_data
Addison,36977.0,59104.0,14388.0,2014
Algonquin,29924.0,100269.0,13855.0,2014
Alsip,19264.0,53487.0,10023.0,2014
Antioch,14185.0,88504.0,6437.0,2014
Arlington Heights,75221.0,77121.0,34924.0,2014
Aurora,196569.0,62589.0,68131.0,2014
Bannockburn,1456.0,166563.0,353.0,2014
Barrington,10739.0,106127.0,3935.0,2014
Barrington Hills,3938.0,114213.0,1243.0,2014
Bartlett,41017.0,96127.0,23084.0,2014
Batavia,25693.0,90060.0,12619.0,2014
Beach Park,13482.0,68967.0,4740.0,2014
Bedford Park,624.0,63618.0,208.0,2014
Beecher,4658.0,84115.0,1872.0,2014
Bellwood,19105.0,54047.0,7454.0,2014
Bensenville,18480.0,58043.0,6892.0,2014
Berkeley,5189.0,62644.0,2234.0,2014
Berwyn,56376.0,51192.0,21746.0,2014
Big Rock,1038.0,63750.0,513.0,2014
Bloomingdale,22028.0,71075.0,10869.0,2014
Blue Island,23457.0,42721.0,8840.0,2014
Bolingbrook,73383.0,80112.0,30532.0,2014
Braceville,848.0,56667.0,,2014
Braidwood,6047.0,56524.0,2725.0,2014
Bridgeview,16394.0,50727.0,6773.0,2014
Broadview,7938.0,49750.0,3204.0,2014
Brookfield,18812.0,71360.0,9111.0,2014
Buffalo Grove,41667.0,93567.0,21094.0,2014
Bull Valley,1003.0,119861.0,483.0,2014
Burbank,28851.0,56617.0,11247.0,2014
Burlington,547.0,60231.0,327.0,2014
Burnham,4208.0,39871.0,1202.0,2014
Burr Ridge,10590.0,133188.0,4776.0,2014
Calumet City,37070.0,41244.0,10828.0,2014
Calumet Park,7913.0,44874.0,3155.0,2014
Campton Hills,10985.0,128633.0,4901.0,2014
Carol Stream,39869.0,73705.0,20519.0,2014
Carpentersville,37758.0,55000.0,13630.0,2014
Cary,18202.0,101051.0,9870.0,2014
Channahon,12377.0,89559.0,4544.0,2014
Chicago,2702471.0,47408.0,989956.0,2014
Chicago Heights,30328.0,42959.0,9277.0,2014
Chicago Ridge,14303.0,49694.0,5299.0,2014
Cicero,83756.0,45656.0,23081.0,2014
Clarendon Hills,8434.0,105278.0,3498.0,2014
Coal City,5346.0,57269.0,,2014
Country Club Hills,16540.0,61944.0,4373.0,2014
Countryside,5905.0,60916.0,2589.0,2014
Crest Hill,20724.0,48745.0,7786.0,2014
Crestwood,10951.0,55188.0,4990.0,2014
Crete,8336.0,70963.0,3331.0,2014
Crystal Lake,40867.0,78311.0,18698.0,2014
Darien,22163.0,74206.0,9213.0,2014
Deerfield,18452.0,129187.0,7294.0,2014
Deer Park,3220.0,144881.0,1588.0,2014
Des Plaines,58302.0,65194.0,26658.0,2014
Diamond,2648.0,59853.0,,2014
Dixmoor,3643.0,40594.0,1424.0,2014
Dolton,23230.0,53161.0,8424.0,2014
Downers Grove,48621.0,82181.0,22896.0,2014
East Dundee,2886.0,68576.0,1710.0,2014
East Hazel Crest,1853.0,44655.0,297.0,2014
Elburn,5595.0,81758.0,2331.0,2014
Elgin,109513.0,58487.0,42149.0,2014
Elk Grove Village,33166.0,67983.0,15968.0,2014
Elmhurst,44385.0,94424.0,20132.0,2014
Elmwood Park,24876.0,56396.0,10486.0,2014
Elwood,2216.0,68942.0,1211.0,2014
Evanston,74619.0,68051.0,31252.0,2014
Evergreen Park,19852.0,65980.0,8754.0,2014
Flossmoor,9387.0,106250.0,4409.0,2014
Ford Heights,2787.0,21994.0,867.0,2014
Forest Park,14194.0,50700.0,6621.0,2014
Forest View,804.0,65096.0,406.0,2014
Fox Lake,10768.0,54920.0,4997.0,2014
Fox River Grove,4729.0,90701.0,1646.0,2014
Frankfort,17787.0,114972.0,8828.0,2014
Franklin Park,18333.0,56098.0,7566.0,2014
Geneva,21588.0,93385.0,11284.0,2014
Gilberts,6786.0,107930.0,3416.0,2014
Glencoe,8728.0,184028.0,3194.0,2014
Glendale Heights,34159.0,62208.0,16415.0,2014
Glen Ellyn,27503.0,90640.0,10980.0,2014
Glenview,44478.0,99841.0,18586.0,2014
Glenwood,9033.0,57092.0,3278.0,2014
Godley,755.0,38750.0,383.0,2014
Golf,590.0,170577.0,302.0,2014
Grayslake,20943.0,95559.0,10929.0,2014
Green Oaks,3852.0,154737.0,1215.0,2014
Greenwood,278.0,65625.0,,2014
Gurnee,31222.0,83750.0,13269.0,2014
Hainesville,3519.0,82401.0,1481.0,2014
Hampshire,6174.0,73283.0,2074.0,2014
Hanover Park,37990.0,70067.0,17461.0,2014
Harvard,9172.0,37646.0,4272.0,2014
Harvey,24959.0,28123.0,8236.0,2014
Harwood Heights,8573.0,46553.0,3731.0,2014
Hawthorn Woods,7451.0,157792.0,2604.0,2014
Hazel Crest,14341.0,50947.0,4397.0,2014
Hebron,1082.0,49063.0,530.0,2014
Hickory Hills,14355.0,56956.0,5444.0,2014
Highland Park,29909.0,115321.0,10255.0,2014
Highwood,5396.0,58721.0,1330.0,2014
Hillside,8136.0,52395.0,3224.0,2014
Hinsdale,16594.0,165598.0,6398.0,2014
