community,style,list_price_count,list_price_mean,list_price_median,list_price_std,list_price_min,list_price_max,sold_price_count,sold_price_mean,sold_price_median,sold_price_std,sold_price_min,sold_price_max,days_on_mls_mean,Region,avg_price_difference
EDGEWATER,CONDO,0,,,,,,132,246544.50757575757,250000.0,114201.91888011649,15500,539000,,Central,
EDGEWATER,CONDOS,890,261362.8584269663,233900.0,134545.31471128366,75000.0,879900.0,890,259492.85168539325,230000.0,134700.46282085005,70000,880000,65.92806603773585,Central,-1870.0067415730446
EDGEWATER,LAND,8,465500.0,35000.0,610025.058033333,15000.0,1250000.0,9,393055.55555555556,35000.0,549386.9563229344,13500,1138000,96.66666666666667,Central,-72444.44444444444
EDGEWATER,MULTI_FAMILY,60,830823.25,749497.5,303356.6367789204,325000.0,1725000.0,81,1254947.172839506,750000.0,2408393.677756747,300000,15969000,77.48214285714286,Central,424123.92283950606
EDGEWATER,OTHER,0,,,,,,5,3341000.0,1275000.0,3867795.5607813606,705000,10000000,,Central,
EDGEWATER,SINGLE_FAMILY,71,856887.2957746478,820000.0,390296.8545340619,110000.0,1549000.0,79,952631.6455696203,845000.0,1060463.446013993,90000,9607500,65.93548387096774,Central,95744.34979497246
EDGEWATER,TOWNHOMES,36,318455.55555555556,281000.0,161652.60891261225,120000.0,699000.0,36,314251.3888888889,280000.0,162998.1408684998,120000,680000,67.52941176470588,Central,-4204.166666666686
LAKE VIEW,CONDO,0,,,,,,530,333452.4528301887,254000.0,212422.78277615475,15000,1500000,,Central,
LAKE VIEW,CONDOS,2048,436536.572265625,374500.0,254786.6773097716,35000.0,2400000.0,2048,433767.2490234375,375000.0,249637.62888294968,31500,1867500,61.291909042834476,Central,-2769.3232421875
LAKE VIEW,LAND,45,387951.0,29000.0,607424.0645018182,13000.0,3250000.0,46,381169.5652173913,25000.0,597492.9529550268,12500,3250000,102.225,Central,-6781.434782608703
LAKE VIEW,MULTI_FAMILY,117,1034095.905982906,900000.0,367288.37528683717,399724.0,2250000.0,167,1048788.8383233533,945000.0,411240.67841365637,389900,2112500,75.07339449541284,Central,14692.932340447325
LAKE VIEW,OTHER,0,,,,,,18,844083.3333333334,400000.0,970610.8787465636,21000,3325000,,Central,
LAKE VIEW,SINGLE_FAMILY,184,1659818.1358695652,1612500.0,798457.3029117679,199000.0,5499000.0,206,1573810.504854369,1561500.0,756271.2414020465,137500,5100000,75.29113924050633,Central,-86007.63101519621
LAKE VIEW,TOWNHOMES,107,671511.2056074766,665000.0,194518.78236821748,225000.0,1150000.0,111,671530.1981981982,669900.0,188600.11115222887,195000,1150000,54.74193548387097,Central,18.9925907215802
LINCOLN PARK,CONDO,0,,,,,,256,800189.453125,525000.0,997918.5898689204,17500,5922500,,Central,
LINCOLN PARK,CONDOS,1308,657704.012232416,500000.0,564979.6697268587,120000.0,5995000.0,1308,648237.9120795107,500000.0,549850.6030458533,110000,5950000,69.02583979328165,Central,-9466.100152905216
LINCOLN PARK,LAND,15,1110933.3333333333,600000.0,2240786.8266260745,17000.0,9000000.0,16,1099678.125,692500.0,2166765.415157561,14500,9000000,130.3846153846154,Central,-11255.208333333256
LINCOLN PARK,MULTI_FAMILY,47,1460182.829787234,1250000.0,730702.1133511818,650000.0,4150000.0,71,1623565.2253521127,1075000.0,2149762.986218654,510000,18300000,94.5,Central,163382.3955648786
LINCOLN PARK,OTHER,0,,,,,,20,3296075.0,1725000.0,3402324.9105149442,99000,14050000,,Central,
